1,2,3,4,5,6,7
,open,high,low,close,volume,value
43:22.9,186,186,186,186,8973.960643,1669156.68
43:31.7,186,186,186,186,29922.9856,5565675.322
43:39.7,186,186,185,185,30419.11475,5657919.587
43:57.2,186,186,185,185,30457.15823,5664957.631
44:06.7,185,185,185,185,53.63508941,9922.491541
44:16.2,185,185,185,185,53.63508941,9922.491541
44:35.2,185,186,185,185,647.8107194,120385.5236
45:02.3,185,186,185,185,647.8107194,120385.5236
45:11.3,185,186,185,185,647.8107194,120385.5236
45:21.0,185,186,185,185,647.8107194,120385.5236
45:31.0,185,186,185,185,647.8107194,120385.5236
45:40.6,186,186,186,186,37.6344086,7000
45:48.9,186,186,186,186,37.6344086,7000
45:57.7,186,186,185,185,391.2768817,72706.7715
46:07.2,186,186,186,186,20795,3867870
46:16.4,186,186,185,185,21702.11812,4036474.616
46:44.3,186,186,185,185,21702.11812,4036474.616
46:53.8,186,186,185,185,21702.11812,4036474.616
47:03.3,186,186,185,186,76811.68164,14286853.43
47:12.0,186,186,185,186,76811.68164,14286853.43
47:20.8,186,186,185,186,76811.68164,14286853.43
47:30.0,186,186,185,186,76811.68164,14286853.43
47:38.7,186,186,185,186,76811.68164,14286853.43
47:46.7,186,186,185,185,398.3420587,74051.83814
47:55.9,186,186,185,185,398.3420587,74051.83814
48:04.6,186,186,185,185,398.3420587,74051.83814
48:12.1,186,186,185,185,398.3420587,74051.83814
48:20.6,186,186,186,186,86460.84446,16081717.07
48:29.1,186,186,186,186,86460.84446,16081717.07
48:37.7,186,186,186,186,98001.51338,18228281.49
48:46.0,186,186,185,185,100545.1752,18698858.93
48:54.8,186,186,185,185,100545.1752,18698858.93
49:04.1,186,186,185,185,100545.1752,18698858.93
49:13.4,186,187,186,187,42418.0948,7892538.183
49:22.6,186,187,186,187,42418.0948,7892538.183
49:32.0,186,187,186,186,42453.29975,7899086.304
49:41.1,186,187,186,187,47187.09478,8784305.974
49:58.0,186,187,186,186,47239.90221,8794128.156
50:07.1,186,187,186,186,47239.90221,8794128.156
50:16.9,186,187,186,186,47239.90221,8794128.156
50:26.1,187,187,187,187,668.4491979,125000
50:42.9,187,187,186,186,721.2566273,134822.1819
51:01.3,187,187,186,186,721.2566273,134822.1819
51:09.6,187,187,186,186,721.2566273,134822.1819
51:18.8,187,187,187,187,464.1743299,86800.5997
51:51.6,187,187,186,186,14068.39329,2630742.498
52:01.0,187,187,186,186,14103.67854,2637305.554
52:09.6,187,187,186,186,14103.67854,2637305.554
52:39.1,187,188,186,188,168467.2549,31503802.72
52:48.8,187,188,186,188,168467.2549,31503802.72
52:57.5,187,188,186,188,188686.9907,35305113.06
53:07.2,187,188,186,188,188686.9907,35305113.06
53:15.9,187,188,186,188,188686.9907,35305113.06
53:25.1,187,188,186,188,188686.9907,35305113.06
53:34.3,187,188,186,188,188686.9907,35305113.06
53:51.6,188,188,188,188,115974.05,21803121.4
54:08.3,189,189,188,188,20609.67117,3890205.482
54:17.7,189,189,188,189,30052.02923,5674811.155
54:27.6,189,189,188,189,51789.43802,9783181.416
54:37.7,189,190,188,190,103103.3967,19488377.6
54:47.0,189,190,188,190,103103.3967,19488377.6
54:55.7,189,190,188,190,104228.0647,19702064.52
55:05.7,190,190,190,190,11838.87965,2249387.133
55:15.1,190,191,190,191,21867.29388,4164019.179
55:25.1,190,193,190,192,130660.2426,25007346.09
55:34.6,190,193,190,192,220841.1467,42323631.95
55:43.0,190,194,190,194,289467.173,55568532.34
56:00.2,190,196,190,196,558336.1885,107951203.1
56:09.7,197,200,197,200,702586.1065,139325124.9
56:20.1,197,200,197,199,959935.1935,190535707.7
31:03.3,200,200,200,200,50,10000
